area,price,MS.Zoning,Lot.Area,Utilities,Neighborhood,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Exterior.1st,Exter.Qual,Exter.Cond,Foundation,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Garage.Type,Garage.Cars,Garage.Area,Garage.Qual,Wood.Deck.SF,Fence
1173,170000,5,10625,4,17,0,6,7,6,1974,1974,9,3,3,1,6,885,1053,1,3,1,5,2,0,3,1,4,6,1,2,528,3,0,3
1674,216000,2,7500,4,24,0,5,7,5,2000,2000,13,4,3,2,6,533,814,1,5,1,5,2,1,3,1,4,7,1,2,663,3,0,0
1004,149000,5,11241,4,15,0,2,6,7,1970,1970,14,3,3,1,5,578,1004,1,5,1,5,1,0,2,1,3,5,1,2,480,3,0,0
1078,149900,5,12537,4,15,0,2,5,6,1971,2008,13,3,3,1,6,734,1078,1,5,1,5,1,1,3,1,3,6,1,2,500,3,0,0
1056,142000,5,8450,4,15,0,2,5,6,1968,1968,13,3,3,1,4,775,1056,1,5,1,5,1,0,3,1,3,6,1,1,304,3,0,0
882,126000,5,8400,4,15,0,2,4,5,1970,1970,9,3,3,1,5,804,882,1,3,1,5,1,0,2,1,3,4,1,2,525,3,240,3
864,115000,5,10500,4,15,0,2,4,5,1971,1971,6,3,3,1,5,432,864,1,3,1,5,1,0,3,1,3,5,6,0,0,0,0,0
1337,184000,4,5858,4,15,4,2,7,5,1999,1999,8,4,3,2,6,1051,1405,1,5,1,5,2,0,2,1,4,5,1,2,511,3,203,0
987,96000,6,1680,4,2,3,5,6,5,1971,1971,6,3,3,1,3,156,483,1,3,1,5,1,1,2,1,3,5,5,1,264,3,275,0
1092,105500,6,1680,4,2,3,5,5,5,1971,1971,6,3,3,1,3,300,525,1,3,1,5,1,1,3,1,3,6,5,1,320,3,0,0
1092,88000,6,1680,4,2,3,5,6,5,1971,1971,6,3,3,1,1,0,525,1,3,1,5,1,1,3,1,3,6,5,1,264,3,0,0
1069,127500,5,4043,4,16,4,2,6,5,1977,1977,9,3,3,1,5,360,1069,1,3,1,5,2,0,2,1,3,4,1,2,440,3,0,0
1456,149900,5,2280,4,16,3,5,6,6,1975,1975,9,3,3,1,5,514,855,1,3,1,5,2,1,3,1,4,6,1,2,440,3,173,0
836,120000,5,2280,4,16,3,2,7,6,1975,1975,9,3,3,1,1,0,836,1,5,1,5,1,0,2,1,3,4,1,1,308,3,0,0
1456,146000,5,2280,4,16,3,5,6,5,1978,1978,9,3,3,1,5,311,855,1,2,1,5,2,1,3,1,3,7,1,2,440,3,26,0
2334,376162,5,12858,4,19,0,5,9,5,2009,2010,13,5,3,2,1,0,1590,1,5,1,5,2,1,3,1,5,10,1,3,751,3,144,0
1704,306000,5,11478,4,19,0,2,8,5,2007,2008,13,4,3,2,6,1218,1704,1,5,1,5,2,0,3,1,4,7,1,3,772,3,0,0
1940,395192,5,10159,4,19,0,2,9,5,2009,2010,13,5,3,2,6,1646,1930,1,5,1,5,2,1,3,1,5,8,1,3,606,3,168,0
1544,290941,5,12883,4,19,0,2,8,5,2009,2010,13,4,3,2,1,0,1544,1,5,1,5,2,0,3,1,4,7,1,3,868,3,0,0
1541,220000,5,12182,4,19,0,2,7,5,2005,2005,13,4,3,2,4,1201,1541,1,5,1,5,2,0,3,1,4,7,1,2,532,3,0,0
1698,275000,5,11520,4,19,0,2,9,5,2005,2005,13,4,3,2,6,110,1698,1,5,1,5,2,0,3,1,5,7,1,3,730,3,192,0
1822,259000,5,14122,4,19,0,2,8,5,2005,2006,5,4,3,2,6,28,1822,1,5,1,5,2,0,3,1,5,8,1,3,678,3,0,0
1535,214000,5,10171,4,19,0,2,7,5,2004,2004,13,4,3,2,6,2,1517,1,5,1,5,2,0,3,1,4,7,1,2,532,3,0,0
2364,611657,5,12919,4,19,0,2,9,5,2009,2010,13,5,3,2,6,2188,2330,1,5,1,5,2,1,2,1,5,11,1,3,820,3,0,0
1358,224000,5,6371,4,19,4,2,7,5,2009,2010,13,4,3,2,6,733,1358,1,5,1,5,2,0,2,1,4,6,1,2,484,3,192,0
2696,500000,5,14300,4,19,0,2,9,5,2003,2004,13,5,3,2,6,1373,2846,1,5,1,5,2,1,3,1,5,10,1,3,958,3,220,0
2250,320000,5,13650,4,19,0,5,8,5,2002,2002,13,4,3,2,6,578,1671,1,5,1,5,2,1,3,1,4,7,1,3,756,3,238,0
1752,319900,5,7658,4,19,4,2,9,5,2005,2005,8,5,3,2,6,456,1752,1,5,1,5,2,0,2,1,5,6,1,2,576,3,196,0
1370,205000,5,7132,4,19,4,2,8,5,2006,2006,13,4,3,2,6,24,1370,1,5,1,5,2,0,2,1,4,6,1,2,484,3,120,0
1626,175500,5,2628,4,19,3,5,7,5,2003,2003,13,4,3,2,1,0,764,1,5,1,5,2,1,2,1,4,6,3,2,474,3,0,0
1324,199500,5,18494,4,8,0,2,6,5,2005,2005,13,4,3,2,1,0,1324,1,5,1,5,2,0,3,1,4,6,1,2,430,3,36,0
1145,160000,5,3203,4,0,4,2,7,5,2006,2006,13,4,3,2,6,16,1145,1,5,1,5,2,0,2,1,4,6,1,2,437,3,100,0
1269,192000,5,3182,4,0,4,2,8,5,2004,2005,13,4,3,2,6,24,1256,1,5,1,5,2,0,2,1,4,6,1,2,430,3,146,0
1374,184500,5,13300,4,8,0,7,7,5,2004,2004,13,4,3,2,6,326,384,1,5,1,5,2,1,3,1,4,7,3,2,400,3,100,0
1960,216500,5,7851,4,8,0,5,6,5,2002,2002,13,4,3,2,6,625,860,1,5,1,5,2,1,4,1,4,8,3,2,440,3,288,0
1733,185088,5,8577,4,8,0,5,7,5,2004,2004,13,4,3,2,1,0,847,1,5,1,5,2,1,3,1,4,7,3,2,433,3,144,0
1430,180000,5,7750,4,8,0,7,7,5,2000,2000,13,3,3,2,6,250,384,1,5,1,5,2,1,3,1,3,7,3,2,400,3,180,0
2035,222500,5,9505,4,8,0,5,7,5,2001,2001,13,4,3,2,1,0,884,1,5,1,5,2,1,3,1,4,8,3,2,434,3,144,0
2599,333168,5,14774,4,18,0,5,9,5,1999,1999,13,4,3,2,1,0,1393,1,5,1,5,2,1,4,1,4,10,3,3,779,3,668,0
2475,355000,5,17433,4,18,0,5,8,5,1998,1998,13,4,3,2,1,0,1629,1,5,1,5,2,1,4,1,4,7,1,3,962,3,23,0
1720,260400,5,10593,4,18,0,2,7,5,1996,1996,13,4,3,2,6,919,1720,1,5,1,5,2,0,3,1,4,7,1,2,527,3,240,0
2622,325000,5,12256,4,18,0,5,8,5,1994,1995,6,4,3,2,6,1032,1463,1,5,1,5,2,1,3,1,4,9,1,2,712,3,186,0
2270,290000,5,11764,4,18,0,5,8,7,1999,2007,13,4,3,2,6,524,1152,1,5,1,5,2,1,4,1,4,9,1,3,671,3,132,0
1839,221000,5,16770,4,18,0,5,7,5,1998,1998,13,4,3,2,1,0,1195,1,4,1,5,2,1,4,1,3,7,1,2,486,3,0,0
3238,410000,5,14720,4,18,0,0,8,5,1995,1996,13,4,3,2,6,816,2033,1,5,1,5,2,1,4,1,4,9,1,3,666,3,283,0
1595,221500,5,8987,4,24,0,2,8,5,2005,2006,13,4,3,2,1,0,1595,1,5,1,5,2,0,2,1,4,6,1,3,880,3,144,0
1218,204500,2,9215,4,24,0,2,7,5,2009,2010,13,4,3,2,1,0,1218,1,5,1,5,2,0,2,1,4,4,1,2,676,3,0,0
1547,215200,2,8640,4,24,0,5,7,5,2009,2009,13,3,3,2,6,24,756,1,5,1,5,2,1,3,1,4,7,1,2,614,3,169,0
1566,262500,2,9000,4,24,0,2,8,5,2008,2008,13,4,3,2,6,1078,1566,1,5,1,5,2,0,3,1,4,7,1,2,750,3,144,0
1947,254900,2,12552,4,24,0,5,7,5,2004,2005,13,4,3,2,6,222,991,1,5,1,5,2,1,3,1,4,8,1,2,678,3,0,2
1468,271500,2,10440,4,24,0,2,6,5,2005,2005,13,4,3,2,6,1414,1468,1,5,1,5,2,0,2,1,4,6,1,2,528,3,0,0
2084,233000,5,10142,4,23,0,5,7,5,2004,2004,13,4,3,2,6,656,956,1,5,1,5,2,1,4,1,4,8,3,2,618,3,0,0
1659,181000,5,11920,4,23,0,5,7,5,2004,2004,13,4,3,2,1,0,831,1,5,1,5,2,1,3,1,4,8,1,2,484,3,144,0
2110,205000,5,8880,4,23,0,5,7,5,1994,2002,13,4,3,2,6,695,948,1,5,1,5,2,1,3,1,4,8,1,2,463,3,0,0
923,143000,5,8012,4,23,4,2,6,5,1980,1980,9,3,3,1,4,543,923,1,3,1,5,2,0,2,1,3,5,1,1,264,3,80,0
1845,189000,5,11218,4,23,0,5,6,5,1992,1992,14,4,3,2,1,0,1055,1,5,1,5,2,1,3,1,4,8,1,2,462,3,635,4
918,99500,5,7892,4,23,4,2,6,5,1979,1979,9,3,3,1,1,0,918,1,3,1,5,2,0,2,1,3,5,1,1,264,3,28,0
752,125000,5,7175,4,23,4,2,6,5,1984,1984,9,3,3,1,5,623,744,1,3,1,5,1,0,2,1,3,4,1,1,264,3,353,3
1744,194500,5,9453,4,23,0,5,7,7,1993,2003,6,4,3,2,4,402,996,1,5,1,5,2,1,3,1,4,7,1,2,457,3,370,0
1097,152000,5,9672,4,23,0,2,6,5,1984,1985,6,3,3,2,6,338,1040,1,3,1,5,2,0,3,1,3,6,1,2,480,3,0,4
1564,171000,5,8400,4,23,0,5,6,6,1980,1981,6,3,3,1,1,0,650,1,3,1,5,2,1,3,1,3,7,1,2,476,3,0,3
1012,67500,4,9800,4,23,0,2,5,5,1920,1950,14,3,2,0,1,0,816,1,3,0,4,1,0,2,1,3,5,5,1,429,3,121,0
1902,112000,6,8930,4,22,2,0,6,5,1978,1978,13,3,3,3,0,0,0,1,3,1,5,2,0,4,2,3,8,1,2,539,3,0,0
1155,148000,5,11782,4,22,0,6,5,7,1961,1995,6,3,3,1,5,899,1109,1,3,1,5,1,0,3,1,4,6,5,2,576,3,192,3
894,138500,5,8450,4,22,0,2,5,8,1965,2009,8,3,4,1,6,553,894,1,5,1,5,1,0,3,1,3,5,5,1,336,3,416,3
900,122000,5,9819,4,22,0,2,5,5,1967,1967,8,3,4,1,4,450,882,1,3,1,5,1,0,3,1,3,5,5,1,280,3,0,3
1040,133000,5,7500,4,22,0,2,5,5,1963,1963,6,3,3,1,5,824,1040,1,2,1,5,1,1,3,1,3,5,1,1,308,3,0,3
1040,127000,5,6897,4,22,0,2,5,8,1962,2010,6,3,4,1,5,659,1040,1,5,1,5,1,1,3,1,3,6,5,1,260,3,0,0
1494,169000,5,15410,4,22,0,2,6,6,1974,2002,9,3,4,1,4,126,1208,1,5,1,5,2,0,3,1,3,7,1,2,461,3,296,4
1923,190000,5,10186,4,18,0,5,7,5,1992,1992,6,4,3,2,6,674,750,1,5,1,5,2,1,3,1,4,8,1,2,564,3,240,0
2349,362500,5,13143,4,18,0,5,8,5,1993,1993,6,4,3,2,2,250,1231,1,5,1,5,2,1,4,1,4,9,1,3,762,3,32,0
2225,285000,5,11134,4,18,0,5,8,5,1992,1993,6,4,3,2,6,1129,1390,1,5,1,5,2,1,4,1,4,7,1,3,713,3,198,0
1488,260000,2,4835,4,24,4,2,7,5,2004,2005,8,4,3,2,6,1298,1488,1,5,1,5,2,0,2,1,4,6,1,2,506,3,168,0
1680,190000,2,3515,4,24,4,5,7,5,2004,2004,13,4,3,2,1,0,840,1,5,1,5,2,1,2,1,4,3,1,2,588,3,0,0
1200,155000,2,3215,4,24,4,5,7,5,2004,2004,8,4,3,2,6,280,600,1,5,1,5,2,1,2,1,4,4,5,2,480,3,0,0
1200,151000,2,3182,4,24,4,5,7,5,2004,2005,8,4,3,2,1,0,600,1,5,1,5,2,1,2,1,4,4,5,2,480,3,0,0
1200,149500,2,2544,4,24,3,5,7,5,2004,2005,8,4,3,2,6,368,600,1,5,1,5,2,1,2,1,4,4,5,2,480,3,0,0
1236,152000,2,2544,4,24,3,5,6,5,2005,2005,13,4,3,2,6,376,600,1,5,1,5,2,1,2,1,4,4,5,2,480,3,0,0
1478,222000,2,4403,4,24,0,2,7,5,2009,2009,8,5,3,2,6,578,1470,1,5,1,5,2,1,2,1,4,7,1,2,484,3,0,0
1573,177500,2,2117,4,24,3,5,6,5,2000,2000,8,4,3,2,6,378,756,1,5,1,5,2,1,3,1,4,5,5,2,440,3,0,0
1512,177000,2,2980,4,24,4,5,6,5,2000,2000,8,4,3,2,6,466,756,1,5,1,5,2,1,2,1,4,5,5,2,440,3,0,0
1416,155000,2,2572,4,24,3,5,7,5,1999,1999,8,4,3,2,5,604,696,1,5,1,5,2,1,3,1,4,6,5,2,484,3,0,0
1080,147110,2,2403,4,24,4,5,7,5,2003,2003,13,4,3,2,6,244,530,1,5,1,5,2,1,2,1,4,4,1,2,496,3,0,0
1418,267916,2,12853,4,24,0,2,8,5,2010,2010,5,4,3,2,6,1032,1642,1,5,1,5,1,1,1,1,4,6,1,3,852,3,160,0
1848,254000,2,7379,4,24,0,5,8,5,2000,2000,13,4,3,2,6,484,975,1,5,1,5,2,1,3,1,4,7,1,2,592,3,280,0
788,155000,5,4420,4,9,4,2,8,5,1980,1980,14,4,3,1,6,728,728,1,3,1,5,1,0,1,1,4,3,5,2,484,3,133,0
1226,206000,5,3880,4,9,3,2,8,6,1978,1978,14,4,3,1,6,1052,1226,1,3,1,5,1,0,1,1,4,4,1,2,484,3,223,0
1479,130500,5,13517,4,22,0,5,6,8,1976,2005,6,4,3,1,6,533,725,1,5,1,5,2,1,3,1,4,6,1,2,475,3,0,0
1492,230000,2,8000,4,24,0,2,7,5,2002,2002,13,4,3,2,6,833,1492,1,5,1,5,2,0,3,1,4,6,1,2,596,3,277,0
1829,218500,5,10456,4,17,0,2,6,6,1967,1967,6,3,3,1,6,506,1829,1,4,1,5,2,0,4,1,3,8,1,2,535,3,0,0
2495,243500,5,10791,4,17,0,5,6,5,1993,1993,8,3,3,2,6,1137,1280,1,5,1,5,2,1,4,1,4,9,1,2,660,3,224,0
1610,205000,5,10603,4,17,0,2,6,7,1977,2001,9,3,3,2,5,1200,1610,1,4,1,5,2,0,3,1,4,6,1,2,480,3,168,0
1891,212500,5,18837,4,17,0,0,6,5,1978,1978,8,3,3,2,5,687,1224,1,3,1,5,3,0,3,1,3,7,1,2,678,3,0,0
1714,196500,5,10421,4,17,0,5,7,5,1988,1988,6,3,3,1,6,394,980,1,3,1,5,2,1,3,1,3,7,1,2,496,3,228,3
1381,197500,5,9360,4,17,0,2,6,7,1972,2006,9,3,3,1,5,982,1161,1,3,1,5,1,1,3,1,4,5,1,2,676,3,0,0
1645,171000,5,9600,4,17,0,5,6,6,1971,1971,8,3,3,1,5,329,715,1,3,1,5,1,2,4,1,3,7,1,2,441,3,0,2
1232,142250,5,9600,4,15,0,2,5,5,1966,1966,13,3,3,1,3,698,1232,1,3,1,5,1,1,3,1,3,6,1,2,490,3,0,0
1328,143000,5,9790,4,17,0,2,6,5,1963,1963,6,3,3,1,5,569,1328,1,3,1,5,1,1,3,1,3,6,1,2,528,3,0,0
1225,128950,5,9320,4,15,0,2,4,5,1959,1959,9,3,3,1,5,569,950,1,2,1,5,1,1,3,1,3,6,6,0,0,0,352,0
1209,159000,5,9900,4,15,0,2,5,5,1966,1966,6,3,3,2,4,1059,1209,1,4,1,5,1,0,3,1,3,6,1,2,504,3,0,0
1510,178900,5,9680,4,15,0,2,5,6,1967,1967,14,3,3,1,4,1010,1510,1,5,1,5,2,0,3,1,4,6,1,2,517,3,0,4
1775,136300,5,10600,4,15,0,7,6,5,1964,1964,6,3,3,1,1,0,533,1,3,1,5,2,0,3,1,3,8,1,2,480,3,0,0
1152,180500,5,14112,4,15,0,7,5,7,1964,1964,14,3,3,2,6,1014,1152,1,3,1,5,1,0,3,1,3,6,1,2,484,3,227,0
1054,137500,5,8800,4,15,0,6,6,7,1963,1963,8,3,4,2,6,763,936,1,5,1,5,1,0,3,1,4,6,1,2,480,3,120,3
1728,84900,5,13260,4,15,2,2,5,6,1962,2001,6,3,3,1,4,1500,1728,1,3,1,5,2,0,6,2,3,10,6,0,0,0,0,0
1078,142125,5,9717,4,15,0,2,5,6,1950,1996,8,3,3,1,6,49,1078,1,4,1,4,1,0,2,1,4,5,1,1,240,3,366,0
2461,197600,5,9724,4,15,0,0,5,7,1952,2002,8,4,3,1,2,670,1140,1,4,1,5,2,0,3,1,3,7,5,2,400,3,0,2
1556,172500,5,17360,4,15,0,0,6,6,1949,1950,8,3,4,1,3,300,782,1,3,1,5,2,0,3,1,3,6,1,2,470,3,0,0
858,116500,5,7207,4,3,0,2,5,7,1958,2008,14,3,4,1,4,696,858,1,4,1,5,1,0,2,1,3,4,6,0,0,0,117,0
1306,76500,5,5350,4,3,0,2,3,2,1940,1966,14,3,1,1,1,0,728,1,5,1,5,1,0,3,1,2,6,6,0,0,0,263,2
1063,128000,5,9920,4,15,0,2,5,5,1954,1954,6,3,3,1,3,354,1056,1,3,1,5,1,0,3,1,3,6,1,1,280,3,0,3
1520,153000,5,9600,4,15,0,7,6,6,1955,1972,0,3,3,1,4,674,1156,1,5,1,5,1,0,3,1,3,7,2,1,364,3,0,0
1268,132000,5,7800,4,15,0,2,5,6,1954,1954,6,3,3,2,2,540,1268,1,4,1,5,1,0,2,1,3,7,1,1,244,3,0,0
1128,178000,5,11380,4,15,0,6,6,8,1966,2008,6,3,3,1,6,944,1080,1,4,1,5,1,0,2,1,4,5,1,1,315,3,238,0
2274,154300,5,11600,4,15,2,5,5,5,1960,1960,8,3,3,1,3,443,1105,1,3,1,4,2,0,5,2,3,12,5,2,480,3,0,0
2207,180000,5,19900,4,15,0,2,7,5,1970,1989,9,3,3,1,6,912,1947,1,3,1,5,2,0,3,1,3,7,1,2,576,3,301,0
1888,190000,5,16492,4,15,0,2,6,6,1966,2002,3,4,3,1,5,247,1517,1,5,1,5,2,1,2,1,4,6,1,2,578,3,0,0
1604,135000,5,8267,4,15,2,2,5,5,1958,1958,6,3,3,1,1,0,1604,1,3,1,5,2,0,4,2,3,8,1,2,576,3,42,0
1480,214000,5,8197,4,15,0,2,7,5,2003,2009,13,4,3,2,6,1188,1480,1,5,1,5,2,0,3,1,4,7,1,2,620,3,252,3
1143,136000,5,8050,4,15,0,2,5,5,1959,1959,8,3,3,1,4,856,1143,1,3,1,5,1,0,3,1,3,6,1,1,308,3,0,4
1700,165500,5,10552,4,15,0,2,5,5,1959,1959,3,3,3,1,3,1018,1398,1,4,1,5,1,1,4,1,4,6,1,2,447,3,0,0
1314,145000,5,8400,4,15,0,2,5,6,1957,1957,8,3,4,1,3,922,1314,1,3,1,5,1,0,3,1,3,5,1,1,294,3,250,0
1194,148000,5,8760,4,15,0,2,6,6,1959,1959,8,3,3,1,1,0,1194,1,3,1,5,1,0,3,1,3,6,1,1,312,3,0,0
1188,142000,5,12160,4,15,0,2,5,5,1959,1959,9,3,3,1,3,1000,1188,1,2,1,5,1,0,3,1,3,6,1,2,531,3,0,3
1264,167500,5,9300,4,15,0,2,5,5,1960,1960,8,3,3,1,3,697,1268,1,3,1,5,1,0,3,1,3,6,1,2,461,3,0,0
1206,108538,5,10725,4,15,0,2,5,5,1959,1959,8,3,3,1,3,936,1206,1,2,1,5,1,0,3,1,3,6,1,1,312,3,0,0
1580,159500,5,10032,4,15,0,2,6,5,1959,1959,14,3,3,1,3,734,1244,1,5,1,5,1,1,3,1,3,6,1,2,440,3,0,2
1337,108000,5,8382,4,15,0,0,4,5,1956,1956,8,3,3,1,1,0,832,1,3,1,4,1,0,3,1,3,5,1,1,263,3,0,0
1064,135000,5,10950,4,15,0,2,5,7,1952,1952,15,3,3,1,4,339,864,1,3,1,5,1,0,2,1,2,4,5,1,318,3,0,0
972,122500,5,10895,4,15,0,2,5,6,1955,1955,8,3,4,1,3,648,972,1,3,1,5,1,0,3,1,3,5,1,1,305,3,0,2
988,119000,5,13587,4,15,1,2,5,5,1958,1958,8,3,3,1,3,532,988,1,3,1,5,1,0,2,1,3,5,1,1,264,3,0,0
1057,109000,5,7922,4,15,0,2,5,7,1953,2007,13,3,4,1,6,731,1057,1,3,1,5,1,0,3,1,4,5,5,1,246,3,0,0
985,105000,5,7898,4,15,0,2,4,7,1920,1994,8,3,3,0,1,0,576,1,4,1,5,1,0,2,1,3,4,5,2,676,3,0,0
827,107500,5,7200,4,15,0,2,5,7,1955,2007,13,3,3,3,0,0,0,1,5,1,5,1,0,2,1,3,5,5,1,392,3,0,0
1086,144900,5,10200,4,15,0,2,5,7,1954,2003,14,3,3,1,5,320,1086,1,4,1,5,1,0,3,1,3,6,1,2,490,3,0,2
936,129000,5,5868,4,15,0,2,5,7,1956,2000,8,3,3,1,4,248,936,1,5,1,5,1,0,2,1,3,4,1,1,308,3,0,0
1458,97500,5,17503,4,15,0,0,6,5,1948,1950,13,3,3,1,1,0,912,1,3,1,5,1,0,3,1,3,6,1,1,330,3,192,0
1056,144000,5,6979,4,20,2,6,6,5,1980,1980,9,3,3,1,6,1056,1056,1,4,1,5,0,0,0,2,3,4,5,2,576,3,264,4
1287,162000,5,9830,4,15,0,2,5,7,1959,2006,14,3,4,1,5,72,1063,1,5,1,5,1,0,3,1,4,7,5,2,576,3,364,0
2978,242000,5,11275,4,15,0,7,7,7,1967,2007,14,4,4,1,1,0,710,1,5,1,5,2,1,5,1,4,11,3,2,564,3,240,0
1224,132000,5,8064,4,15,0,0,6,8,1948,2004,15,3,3,1,5,481,816,1,3,1,5,1,0,3,1,3,5,5,1,280,3,414,2
1246,154000,5,7500,4,15,0,2,5,7,1959,1994,3,3,3,1,2,340,1246,1,5,1,5,1,1,3,1,4,6,1,1,305,3,218,4
1385,166000,5,8520,4,15,0,0,5,4,1952,1952,3,3,2,1,3,507,910,1,2,1,5,2,0,4,1,3,6,5,2,720,3,0,3
900,134800,5,7200,4,15,0,2,5,7,1951,2000,14,3,3,1,4,234,900,1,3,1,5,1,0,3,1,4,5,5,2,576,3,222,0
1116,160000,5,10000,4,15,0,2,6,6,1962,1962,14,3,3,1,1,0,1116,1,3,1,5,1,1,3,1,3,5,1,2,440,3,0,0
1175,148000,5,7635,4,15,0,2,5,6,1960,1960,3,3,3,1,3,588,1175,1,5,1,5,1,1,3,1,3,6,5,2,484,3,0,0
1395,192000,5,9760,4,15,0,2,6,7,1963,1984,14,3,3,1,4,717,1395,1,3,1,5,1,0,2,1,3,7,1,2,440,3,657,0
1839,155000,5,7700,4,15,0,5,6,5,1966,1966,8,3,3,1,1,0,756,1,3,1,5,1,1,4,1,3,7,1,2,442,3,0,0
1844,80400,6,4800,4,20,0,0,4,5,1900,1954,14,3,3,2,5,48,709,1,3,1,5,1,0,3,1,3,9,2,1,240,3,84,0
1140,96500,6,8800,4,20,0,0,4,7,1910,2004,14,3,3,0,1,0,576,1,4,1,5,1,0,3,1,3,7,6,0,0,0,0,0
936,109500,6,4485,4,20,0,2,5,7,1920,1950,14,3,3,2,4,579,936,1,3,1,5,1,0,2,1,3,5,6,0,0,0,51,3
1028,115000,6,8960,4,20,0,2,5,6,1927,1950,15,3,3,1,1,0,1008,1,4,1,4,1,0,2,1,3,5,5,2,360,3,0,0
1347,143000,6,5805,4,20,0,2,5,7,1957,1957,8,3,3,1,4,274,1347,1,4,1,5,1,0,3,1,4,6,5,2,551,3,0,0
1605,107400,6,5790,4,20,0,5,3,6,1915,1950,13,4,4,1,1,0,840,1,4,0,5,2,0,3,2,3,8,5,1,379,3,0,0
747,80000,6,4608,4,20,0,2,4,6,1945,1950,8,3,4,1,1,0,747,1,3,1,5,1,0,2,1,3,4,1,1,220,3,0,0
804,119000,6,7200,4,20,0,2,5,7,1940,1992,8,3,4,1,4,510,788,1,3,1,5,1,0,2,1,4,4,1,1,240,3,0,3
1316,130000,6,5500,4,20,0,0,5,7,1929,2001,14,3,3,0,2,234,926,1,3,1,5,1,0,3,1,3,6,5,2,484,3,0,0
