Lot.Area,Year.Built,X1st.Flr.SF,X2nd.Flr.SF,Gr.Liv.Area,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,TotRms.AbvGrd,Fireplaces,Garage.Area,Pool.Area
9830,1959,1287,0,1287,1,0,3,1,7,1,576,0
11275,1967,1898,1080,2978,2,1,5,1,11,1,564,0
8064,1948,816,408,1224,1,0,3,1,5,0,280,0
7500,1959,1246,0,1246,1,1,3,1,6,0,305,0
8520,1952,910,475,1385,2,0,4,1,6,0,720,0
7200,1951,900,0,900,1,0,3,1,5,0,576,0
10000,1962,1116,0,1116,1,1,3,1,5,0,440,0
7635,1960,1175,0,1175,1,1,3,1,6,0,484,0
9760,1963,1395,0,1395,1,0,2,1,7,1,440,0
7700,1966,1051,788,1839,1,1,4,1,7,1,442,0
4800,1900,1157,687,1844,1,0,3,1,9,2,240,0
8800,1910,792,348,1140,1,0,3,1,7,0,0,0
4485,1920,936,0,936,1,0,2,1,5,1,0,0
8960,1927,1028,0,1028,1,0,2,1,5,1,360,0
5805,1957,1347,0,1347,1,0,3,1,6,0,551,0
5790,1915,840,765,1605,2,0,3,2,8,0,379,0
4608,1945,747,0,747,1,0,2,1,4,0,220,0
7200,1940,804,0,804,1,0,2,1,4,2,240,0
5500,1929,926,0,1316,1,0,3,1,6,0,484,0
6900,1938,827,424,1251,1,0,3,1,6,0,240,0
11851,1948,1027,606,1633,1,0,3,1,7,1,240,0
8239,1920,1060,185,1245,1,0,3,1,6,0,315,0
9656,1923,832,0,832,1,0,2,1,5,1,780,0
8520,1928,720,0,720,1,0,2,1,5,0,484,0
9600,1900,930,636,1566,2,0,3,1,7,0,288,0
10800,1915,966,686,1652,2,0,4,1,7,0,416,0
9000,1890,1157,1111,2268,3,0,3,1,7,0,624,0
9045,1910,1128,1128,2256,2,0,4,2,12,0,0,0
7407,1957,1236,0,1236,1,0,2,1,6,0,923,0
7740,1910,741,622,1363,1,0,3,1,6,0,528,0
11340,1885,1246,1044,2290,2,0,4,2,11,0,560,0
10560,1922,868,602,1470,1,1,2,1,6,0,624,0
5830,1950,1030,582,1612,1,1,3,1,7,0,363,0
7793,1922,1160,908,2068,1,1,3,1,8,1,315,0
5000,1925,765,0,765,1,0,2,1,4,0,200,0
6000,1939,608,524,1132,1,0,2,1,5,0,240,0
6000,1940,848,348,1196,1,1,3,1,6,2,576,0
6360,1942,955,498,1453,1,1,3,1,7,2,240,0
6000,1948,780,636,1416,1,1,3,1,6,0,312,0
6240,1936,548,492,1040,1,0,2,1,5,0,624,0
6240,1930,928,608,1536,2,0,4,1,7,1,480,0
6120,1923,1068,0,1068,1,0,2,1,5,1,288,0
10300,1921,902,808,1710,2,0,3,1,9,0,480,0
8094,1915,888,1074,1962,1,1,4,1,9,1,572,0
12900,1912,780,780,1560,1,1,3,1,7,0,0,0
3068,1920,662,662,1324,1,0,3,1,6,0,180,0
8472,1963,816,0,816,1,0,2,1,5,0,516,0
5600,1930,372,720,1092,2,0,3,2,7,0,0,0
7630,1900,1032,780,1812,2,0,4,2,8,1,672,0
24090,1940,1207,1196,2403,2,0,4,1,10,2,349,0
15263,1959,1675,0,1675,2,0,3,1,8,2,365,0
10632,1917,725,499,1224,1,1,3,1,6,0,180,0
9900,1915,1212,180,1392,1,0,3,1,6,0,0,0
6001,1940,600,319,919,1,0,3,1,5,0,231,0
6449,1907,942,942,1884,1,1,4,1,7,0,0,0
6048,1910,936,744,1680,2,0,2,2,7,1,450,0
6342,1875,780,240,1020,1,0,2,1,6,0,0,0
10773,1967,1832,0,1832,2,0,4,2,8,0,0,0
10778,1968,1768,0,1768,2,0,4,2,8,0,0,0
11625,1965,1039,0,1039,1,1,3,1,6,0,504,0
11341,1957,1392,0,1392,1,1,3,1,5,1,528,0
8521,1967,912,0,912,1,0,3,1,5,1,336,0
8246,1968,1060,0,1060,1,0,3,1,6,1,270,0
7800,1966,892,0,892,1,0,3,1,5,0,416,0
9364,1969,663,689,1352,1,1,4,1,7,0,299,0
7832,1968,864,0,864,1,0,2,1,4,0,280,0
7424,1978,1373,0,1373,1,0,3,1,5,2,591,0
11227,1968,720,720,1440,1,1,4,1,7,2,480,0
11616,1978,672,714,1386,2,1,3,1,6,1,440,0
14000,1996,1306,954,2260,2,1,3,1,7,0,533,0
20062,1977,1483,0,1483,1,1,1,1,4,2,690,0
9259,1927,756,0,756,1,0,2,1,4,0,440,0
9600,1950,1067,0,1067,2,0,2,1,4,0,436,0
23595,1979,1332,192,1524,0,1,0,1,4,1,586,0
17082,1978,1117,864,1981,2,1,4,1,8,1,522,0
18600,1938,1052,558,1610,2,0,4,1,8,1,480,0
10625,1920,835,0,835,1,0,2,1,5,0,366,0
11479,1950,1074,0,1074,1,0,3,1,6,1,467,0
9571,1956,1144,0,1144,1,0,3,1,6,0,596,0
9350,1947,1169,0,1531,1,0,3,1,8,1,209,0
9525,1954,1172,0,1172,1,0,3,1,5,0,366,0
10420,2009,1212,0,1212,2,0,3,1,6,0,460,0
17485,2009,1508,0,1508,1,0,1,1,5,2,572,0
11200,1964,1298,0,1298,2,0,3,1,5,0,504,0
11100,1946,930,0,930,1,0,2,1,6,0,308,0
9206,1985,977,755,1732,2,1,3,1,7,1,476,0
11980,1987,1433,0,1433,1,1,1,1,4,2,528,0
12361,1993,964,838,1802,2,1,3,1,8,1,1017,0
9938,1993,1062,887,1949,2,1,3,1,8,1,574,0
9069,1992,996,0,996,1,0,2,1,5,0,564,0
10475,2008,1694,0,1694,2,0,3,1,7,0,776,0
6762,2006,1208,0,1208,2,0,2,1,6,0,632,0
10402,2009,1226,0,1226,2,0,3,1,6,0,740,0
7360,2010,1222,0,1222,2,0,2,1,6,0,615,0
12376,1990,1699,1523,3222,3,0,5,1,11,2,594,0
14235,1900,831,614,1445,2,0,3,1,6,0,484,0
8816,1971,1052,0,1052,1,0,3,1,6,0,440,0
11105,1996,965,0,965,1,0,2,1,4,0,580,0
9337,1997,892,800,1692,2,1,3,1,8,1,513,0
8750,1998,804,878,1682,2,1,3,1,7,0,523,0
15240,1977,1026,0,1026,1,1,3,1,5,0,308,0
10900,1977,689,703,1392,1,1,3,1,6,0,299,0
10650,1976,894,0,894,1,0,3,1,5,0,308,0
7480,1972,876,0,876,1,0,3,1,5,0,484,0
10389,2003,1978,0,1978,2,1,3,1,8,1,850,0
11423,2001,1601,0,1601,2,0,3,1,6,1,670,0
9548,2003,941,888,1829,2,1,3,1,7,1,613,0
9375,1997,1044,1054,2098,2,1,4,1,9,1,621,0
12137,1998,1661,0,1661,2,0,3,1,6,0,598,0
4435,2003,848,0,848,1,0,1,1,4,0,420,0
4426,2004,848,0,848,1,0,1,1,3,0,420,0
10635,2003,1668,0,1668,2,0,3,1,8,1,502,0
8400,2004,1484,0,1484,2,0,3,1,7,0,606,0
8773,2004,1414,0,1414,2,0,3,1,6,0,494,0
8777,1945,640,0,640,1,0,2,1,5,0,240,0
8842,1954,992,0,992,1,0,3,1,6,0,319,0
9825,1965,1664,0,1664,2,0,4,2,8,0,0,0
10044,1968,1196,0,1196,1,0,3,1,6,0,336,0
11792,1948,792,328,1120,1,0,2,1,5,0,480,0
6305,1975,1096,0,1096,1,0,3,1,5,1,352,0
7819,1976,1117,0,1117,1,0,3,1,6,1,672,0
6410,1958,960,0,960,1,0,3,1,5,0,0,0
8546,2003,1121,0,1121,2,0,2,1,5,0,440,0
8741,1945,798,689,1487,1,1,3,1,7,1,220,0
12180,1941,672,252,924,1,0,2,1,5,0,280,0
8562,1957,1526,0,1526,1,0,4,1,7,1,364,0
4853,1924,1296,0,1296,2,0,2,1,5,1,260,0
6858,1915,841,806,1647,1,1,4,1,6,0,216,0
8212,1914,864,0,864,1,0,2,1,5,0,200,0
5000,1924,1026,665,1691,2,0,3,1,6,1,308,0
7890,1939,856,0,856,1,0,2,1,4,1,399,0
7200,1967,862,1788,2650,3,0,6,2,10,0,0,0
9839,1931,894,772,1666,1,0,3,1,7,1,0,0
9638,1919,1699,748,2447,2,0,4,1,10,1,336,0
10452,1941,1225,908,2133,1,1,4,1,8,2,312,0
15600,1950,1102,1075,2177,2,1,5,2,11,0,484,0
9042,1941,1188,1152,2340,2,0,4,1,9,2,252,0
17500,1959,1902,0,1902,2,0,3,1,7,2,567,0
19645,1994,896,756,1652,2,1,3,1,6,0,473,0
3907,1989,1034,0,1034,1,0,1,1,4,1,598,0
3907,1989,1191,0,1191,2,0,2,1,5,1,531,0
15602,1959,1801,0,1801,2,0,1,1,6,2,484,0
5436,1922,796,358,1154,1,0,3,1,7,0,240,0
8154,1941,540,0,540,1,0,1,1,4,0,200,0
9140,1921,727,380,1107,1,0,2,1,5,0,625,0
7500,1920,698,430,1128,1,0,2,1,6,0,528,0
8712,1900,859,319,1178,1,0,2,1,7,0,384,0
8712,1952,1044,0,1044,1,0,2,1,4,0,504,0
8712,1896,952,0,952,1,0,3,1,5,0,330,0
3811,2004,1646,0,1646,2,0,2,1,5,1,525,0
11050,1998,1036,880,1916,2,1,3,1,8,1,741,0
9620,1977,1285,0,1285,2,0,3,1,6,1,473,0
9196,2003,1560,0,1560,2,0,3,1,7,0,573,0
12328,1976,1034,0,1034,1,0,3,1,6,0,888,0
12760,1976,2048,0,2048,3,0,5,2,9,0,776,0
57200,1948,1687,0,1687,1,0,3,1,7,2,572,0
11896,2008,1346,0,1346,2,0,3,1,6,1,660,0
9803,2009,1214,0,1214,2,0,2,1,6,0,520,0
9802,2006,744,700,1444,2,1,3,1,7,0,400,0
12003,2009,774,1194,1968,2,1,4,1,8,1,680,0
11316,2002,824,1070,1894,2,1,4,1,8,1,510,0
14191,2002,993,915,1908,2,1,4,1,9,0,431,0
13214,2008,2018,0,2018,2,0,3,1,10,1,746,0
15300,1965,1264,0,1264,1,0,2,1,7,1,528,0
10114,2004,1430,0,1430,2,0,3,1,7,0,624,0
9400,1971,912,912,1824,2,2,4,2,8,0,0,0
11875,1999,1344,0,1344,2,0,3,1,7,1,686,0
1974,1973,546,546,1092,1,1,3,1,6,0,286,0
2394,1973,945,0,945,1,0,2,1,5,1,253,0
2592,1976,536,576,1112,1,1,3,1,4,0,336,0
1476,1970,546,546,1092,1,1,3,1,5,0,0,0
1491,1972,630,0,630,1,0,1,1,3,0,0,0
1900,1970,546,546,1092,1,1,3,1,5,0,0,0
1890,1972,546,546,1092,1,1,3,1,5,0,286,0
6953,1971,874,0,874,1,0,3,1,5,0,352,0
26142,1962,1188,0,1188,1,0,3,1,6,0,312,0
12887,1984,833,0,833,1,0,2,1,5,0,495,0
7700,1985,1216,1216,2432,4,2,4,2,10,0,616,0
10475,1991,624,650,1274,1,1,3,1,6,0,576,0
10544,1969,864,615,1479,2,0,5,1,8,0,275,0
9892,1994,1803,0,1803,2,1,3,1,6,2,482,0
12961,1993,1152,645,1797,2,1,3,1,7,1,616,0
13008,1956,882,0,882,1,0,2,1,5,0,502,0
10200,1974,1434,0,1434,2,0,4,1,7,1,528,0
13860,1972,2000,704,2704,2,1,4,1,9,3,538,0
10179,1997,945,663,1608,2,1,3,1,7,1,470,0
11792,2003,1008,1275,2283,2,1,4,1,9,1,632,0
8400,1996,958,670,1628,2,1,3,1,7,1,390,0
14892,2006,1746,0,1746,2,0,3,1,7,2,758,0
8530,1995,804,670,1474,2,1,3,1,7,1,400,0
7296,2004,2522,0,2522,2,0,1,1,8,1,564,0
5664,2000,1659,0,1659,2,0,2,1,5,1,499,0
7380,1998,1478,0,1478,2,0,2,1,5,0,495,0
8013,1995,1734,0,1734,2,0,2,1,6,0,528,0
8923,1998,751,631,1382,2,1,3,1,7,1,396,0
10141,1998,885,833,1718,2,1,3,1,7,1,427,0
7500,1998,952,684,1636,2,1,3,1,7,1,440,0
7837,1993,799,772,1571,2,1,3,1,7,1,380,0
9765,1993,680,790,1470,2,1,3,1,6,1,420,0
8803,1994,707,809,1516,2,1,3,1,7,1,409,0
7250,1993,1190,0,1190,2,0,3,1,6,1,430,0
9636,1992,808,785,1593,2,1,3,1,7,1,389,0
8125,1994,702,779,1481,2,1,3,1,6,1,343,0
9248,1992,1167,0,1167,2,0,3,1,6,0,400,0
10762,1999,1005,978,1983,2,1,3,1,9,1,490,0
11851,1990,1442,0,1442,2,0,3,1,5,0,500,0
5814,1984,1360,0,1360,1,0,1,1,4,1,565,0
17423,2008,2234,0,2234,2,0,1,1,9,1,1166,0
11844,2008,2046,0,2046,2,1,3,1,7,1,834,0
16158,2005,1530,0,1530,2,0,3,1,7,1,430,0
11900,1977,946,988,1934,2,1,3,1,6,1,567,0
13005,1980,1153,1200,2353,2,1,4,1,10,1,484,0
17043,1979,1586,0,1586,2,0,3,1,7,1,435,0
11900,1977,1411,0,1411,2,0,3,1,6,1,544,0
16635,1977,1602,0,1602,2,0,3,1,8,1,529,0
13250,1978,1154,896,2050,2,1,4,1,8,1,529,0
10928,1978,1671,0,1671,2,0,3,1,7,1,484,0
12388,1980,1539,1134,2673,2,1,4,1,9,1,441,0
14115,1980,1472,0,1472,2,0,3,1,6,2,588,0
11088,1978,1707,0,1707,2,0,3,1,7,1,479,0
9600,1981,2524,0,2524,2,1,4,1,9,1,542,0
11880,1978,1601,0,1601,2,0,3,1,7,1,478,0
10400,1976,1370,0,1370,2,0,3,1,6,1,479,0
10304,1976,1088,780,1868,2,1,4,1,9,1,484,0
7000,2003,1016,868,1884,2,1,3,1,7,1,581,0
8004,2009,832,1103,1935,2,1,3,1,8,0,552,0
7500,2000,1058,816,1874,2,1,3,1,7,1,588,0
8470,2002,972,839,1811,2,1,3,1,7,1,565,0
9373,1975,1621,0,1621,2,0,3,1,7,2,478,0
10140,1974,1116,0,1116,2,0,3,1,6,1,528,0
11050,1975,1193,0,1193,2,0,3,1,5,1,506,0
10140,1974,1350,0,1350,2,0,3,1,7,1,478,0
10448,1972,1378,741,2119,2,1,3,1,7,1,583,0
9000,1974,896,896,1792,2,2,4,2,8,0,0,0
8750,1970,1002,0,1002,1,0,3,1,5,0,902,0
7930,1969,1026,0,1026,1,0,3,1,5,0,440,0
7830,1970,1180,0,1180,1,1,2,1,6,0,477,0
8510,1971,1050,0,1050,1,1,3,1,6,0,336,0
7038,1970,864,0,864,1,0,3,1,5,0,576,0
6960,1970,864,0,864,1,0,3,1,5,0,660,0
8120,1970,864,0,864,1,0,3,1,5,0,463,0
10500,1971,864,0,864,1,0,2,1,4,0,576,0
9000,1971,864,0,864,1,0,3,1,5,0,576,0
1680,1973,483,504,987,1,1,2,1,5,0,264,0
2368,1970,765,600,1365,1,1,3,1,7,0,440,0
1680,1971,630,672,1302,2,1,3,1,6,0,280,0
1680,1972,483,504,987,1,1,2,1,5,0,288,0
1680,1972,483,504,987,1,1,2,1,5,0,264,0
1680,1972,630,672,1302,2,1,3,1,6,0,264,0
4928,1976,958,0,958,2,0,2,1,5,0,440,0
2308,1976,804,744,1548,2,1,3,1,7,1,440,0
2280,1976,855,601,1456,2,1,3,1,7,1,440,0
2280,1975,1055,0,1055,2,0,2,1,4,1,440,0
2308,1974,855,467,1322,2,1,3,1,6,1,440,0
2349,1977,855,601,1456,2,1,3,1,6,1,440,0
2364,1978,804,744,1548,2,1,3,1,7,1,440,0
2289,1978,855,586,1441,2,1,3,1,7,1,440,0
2364,1978,855,601,1456,2,1,3,1,6,1,440,0
2104,1976,836,0,836,1,0,2,1,5,0,345,0
7150,1967,892,0,892,1,0,3,1,5,0,288,0
10710,1966,1120,0,1120,1,0,3,1,5,1,656,0
12456,2006,1718,0,1718,2,0,3,1,7,1,786,0
14257,2007,1794,978,2772,3,1,4,1,10,3,754,0
13518,2008,1966,1174,3140,3,1,4,1,11,2,820,0
15431,2008,2402,0,2402,2,0,2,1,10,2,672,0
13173,2006,1652,0,1652,2,0,2,1,6,2,840,0
14230,2007,1600,0,1600,2,0,3,1,7,1,890,0
12704,2008,2042,0,2042,2,1,3,1,8,1,1390,0
12350,2009,1365,1325,2690,2,1,3,1,8,1,864,0
11308,2008,1130,1054,2184,2,1,3,1,10,1,836,0
12350,2008,2020,0,2020,2,0,3,1,7,1,896,0
12220,2009,2020,0,2020,2,1,3,1,9,1,900,0
13478,2008,1728,568,2296,2,1,3,1,10,1,842,0
13693,2007,2674,0,2674,2,1,2,1,8,2,762,0
13891,2008,1734,1088,2822,3,1,4,1,12,1,1020,0
11578,2008,1736,0,1736,2,0,3,1,7,1,834,0
16870,2004,1782,0,1782,2,0,3,1,7,2,932,0
23303,2007,1508,1012,2520,2,1,5,1,10,1,640,0
11146,2006,1717,0,1717,2,0,3,1,7,1,908,0
10367,2008,1743,0,1743,2,0,3,1,8,1,927,0
9591,2004,1713,0,1713,2,0,3,1,7,1,856,0
10872,2006,1531,0,1531,2,0,2,1,6,1,700,0
13514,2008,1808,0,1808,2,0,3,1,7,1,850,0
8834,2004,1462,762,2224,2,1,4,1,10,1,738,0
11362,2004,1836,0,1836,2,0,3,1,7,1,862,0
10655,2003,1629,0,1629,2,0,3,1,7,1,880,0
12878,2003,1760,0,1760,2,0,3,1,8,1,583,0
9541,2009,1502,0,1502,2,0,3,1,7,0,644,0
13472,2003,2392,0,2392,2,0,3,1,8,1,968,0
15274,2003,2452,0,2452,2,0,3,1,10,1,886,0
13262,2003,1105,1295,2400,3,1,4,1,10,1,730,0
9658,2006,1606,0,1606,2,0,3,1,6,1,871,0
6904,2005,1358,0,1358,2,0,2,1,6,1,484,0
5381,2005,1306,0,1306,2,0,1,1,5,1,624,0
5122,2005,1306,0,1306,2,0,1,1,5,1,624,0
10307,2007,1358,0,1358,2,0,2,1,6,1,484,0
5001,2007,1314,0,1314,2,0,2,1,6,1,626,0
14836,2004,2492,0,2492,2,1,2,1,8,1,949,0
15262,2003,2200,0,2200,2,1,3,1,8,1,685,0
7390,2008,1884,0,1884,2,0,2,1,6,1,649,0
6472,2008,1456,0,1456,2,0,2,1,6,1,539,0
16770,2002,1712,0,1712,2,0,3,1,8,1,701,0
6240,2006,1324,0,1324,2,0,2,1,6,1,550,0
3480,2003,1405,0,1405,2,0,2,1,6,1,478,0
2268,2003,764,862,1626,2,0,2,1,6,0,474,0
10928,2005,728,728,1456,2,1,3,1,8,1,390,0
