price,MS.Zoning,Lot.Area,Utilities,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Exterior.1st,Exter.Qual,Exter.Cond,Foundation,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Garage.Type,Garage.Cars,Garage.Area,Garage.Qual,Wood.Deck.SF,Fence
175900,5,10000,4,0,5,6,5,1993,1994,6,3,3,2,1,0.0,763.0,1,4,1,5,763,892,2,1,3,1,3,7,1,2.0,440.0,3,157,0
185000,5,7980,4,0,2,6,7,1992,2007,6,3,4,2,5,935.0,1168.0,1,5,1,5,1187,0,2,0,3,1,3,6,1,2.0,420.0,3,483,4
180400,5,8402,4,0,5,6,5,1998,1998,13,3,3,2,1,0.0,789.0,1,4,1,5,789,676,2,1,3,1,3,7,1,2.0,393.0,3,0,0
171500,5,10176,4,0,2,7,5,1990,1990,6,3,3,2,6,637.0,1300.0,1,4,1,5,1341,0,1,1,2,1,4,5,1,2.0,506.0,3,192,0
212000,5,6820,4,4,2,8,5,1985,1985,6,4,3,2,6,368.0,1488.0,1,3,1,5,1502,0,1,1,1,1,4,4,1,2.0,528.0,3,0,0
538000,5,53504,4,0,5,8,5,2003,2003,5,5,3,2,5,1416.0,1650.0,1,5,1,5,1690,1589,3,1,4,1,5,12,3,3.0,841.0,3,503,0
164000,5,12134,4,0,0,8,7,1988,2005,14,4,3,5,6,427.0,559.0,1,4,1,5,1080,672,2,0,4,1,3,8,2,2.0,492.0,3,325,0
394432,5,11394,4,0,2,9,2,2010,2010,13,4,3,2,6,1445.0,1856.0,1,5,1,5,1856,0,1,1,1,1,5,8,1,3.0,834.0,3,113,0
141000,5,19138,4,0,2,4,5,1951,1951,13,3,3,1,2,120.0,864.0,1,5,1,5,864,0,1,0,2,1,3,4,5,2.0,400.0,3,0,0
210000,5,13175,4,0,2,6,6,1978,1988,9,3,3,1,5,790.0,1542.0,1,3,1,5,2073,0,2,0,3,1,3,7,1,2.0,500.0,3,349,3
190000,5,11751,4,0,2,6,6,1977,1977,9,3,3,1,4,705.0,1844.0,1,5,1,5,1844,0,2,0,3,1,3,7,1,2.0,546.0,3,0,3
170000,5,10625,4,0,6,7,6,1974,1974,9,3,3,1,6,885.0,1053.0,1,3,1,5,1173,0,2,0,3,1,4,6,1,2.0,528.0,3,0,3
216000,2,7500,4,0,5,7,5,2000,2000,13,4,3,2,6,533.0,814.0,1,5,1,5,814,860,2,1,3,1,4,7,1,2.0,663.0,3,0,0
149000,5,11241,4,0,2,6,7,1970,1970,14,3,3,1,5,578.0,1004.0,1,5,1,5,1004,0,1,0,2,1,3,5,1,2.0,480.0,3,0,0
149900,5,12537,4,0,2,5,6,1971,2008,13,3,3,1,6,734.0,1078.0,1,5,1,5,1078,0,1,1,3,1,3,6,1,2.0,500.0,3,0,0
142000,5,8450,4,0,2,5,6,1968,1968,13,3,3,1,4,775.0,1056.0,1,5,1,5,1056,0,1,0,3,1,3,6,1,1.0,304.0,3,0,0
126000,5,8400,4,0,2,4,5,1970,1970,9,3,3,1,5,804.0,882.0,1,3,1,5,882,0,1,0,2,1,3,4,1,2.0,525.0,3,240,3
115000,5,10500,4,0,2,4,5,1971,1971,6,3,3,1,5,432.0,864.0,1,3,1,5,864,0,1,0,3,1,3,5,6,0.0,0.0,0,0,0
184000,4,5858,4,4,2,7,5,1999,1999,8,4,3,2,6,1051.0,1405.0,1,5,1,5,1337,0,2,0,2,1,4,5,1,2.0,511.0,3,203,0
96000,6,1680,4,3,5,6,5,1971,1971,6,3,3,1,3,156.0,483.0,1,3,1,5,483,504,1,1,2,1,3,5,5,1.0,264.0,3,275,0
105500,6,1680,4,3,5,5,5,1971,1971,6,3,3,1,3,300.0,525.0,1,3,1,5,525,567,1,1,3,1,3,6,5,1.0,320.0,3,0,0
88000,6,1680,4,3,5,6,5,1971,1971,6,3,3,1,1,0.0,525.0,1,3,1,5,525,567,1,1,3,1,3,6,5,1.0,264.0,3,0,0
127500,5,4043,4,4,2,6,5,1977,1977,9,3,3,1,5,360.0,1069.0,1,3,1,5,1069,0,2,0,2,1,3,4,1,2.0,440.0,3,0,0
149900,5,2280,4,3,5,6,6,1975,1975,9,3,3,1,5,514.0,855.0,1,3,1,5,855,601,2,1,3,1,4,6,1,2.0,440.0,3,173,0
120000,5,2280,4,3,2,7,6,1975,1975,9,3,3,1,1,0.0,836.0,1,5,1,5,836,0,1,0,2,1,3,4,1,1.0,308.0,3,0,0
146000,5,2280,4,3,5,6,5,1978,1978,9,3,3,1,5,311.0,855.0,1,2,1,5,855,601,2,1,3,1,3,7,1,2.0,440.0,3,26,0
376162,5,12858,4,0,5,9,5,2009,2010,13,5,3,2,1,0.0,1590.0,1,5,1,5,1627,707,2,1,3,1,5,10,1,3.0,751.0,3,144,0
306000,5,11478,4,0,2,8,5,2007,2008,13,4,3,2,6,1218.0,1704.0,1,5,1,5,1704,0,2,0,3,1,4,7,1,3.0,772.0,3,0,0
395192,5,10159,4,0,2,9,5,2009,2010,13,5,3,2,6,1646.0,1930.0,1,5,1,5,1940,0,2,1,3,1,5,8,1,3.0,606.0,3,168,0
290941,5,12883,4,0,2,8,5,2009,2010,13,4,3,2,1,0.0,1544.0,1,5,1,5,1544,0,2,0,3,1,4,7,1,3.0,868.0,3,0,0
220000,5,12182,4,0,2,7,5,2005,2005,13,4,3,2,4,1201.0,1541.0,1,5,1,5,1541,0,2,0,3,1,4,7,1,2.0,532.0,3,0,0
275000,5,11520,4,0,2,9,5,2005,2005,13,4,3,2,6,110.0,1698.0,1,5,1,5,1698,0,2,0,3,1,5,7,1,3.0,730.0,3,192,0
259000,5,14122,4,0,2,8,5,2005,2006,5,4,3,2,6,28.0,1822.0,1,5,1,5,1822,0,2,0,3,1,5,8,1,3.0,678.0,3,0,0
214000,5,10171,4,0,2,7,5,2004,2004,13,4,3,2,6,2.0,1517.0,1,5,1,5,1535,0,2,0,3,1,4,7,1,2.0,532.0,3,0,0
611657,5,12919,4,0,2,9,5,2009,2010,13,5,3,2,6,2188.0,2330.0,1,5,1,5,2364,0,2,1,2,1,5,11,1,3.0,820.0,3,0,0
224000,5,6371,4,4,2,7,5,2009,2010,13,4,3,2,6,733.0,1358.0,1,5,1,5,1358,0,2,0,2,1,4,6,1,2.0,484.0,3,192,0
500000,5,14300,4,0,2,9,5,2003,2004,13,5,3,2,6,1373.0,2846.0,1,5,1,5,2696,0,2,1,3,1,5,10,1,3.0,958.0,3,220,0
320000,5,13650,4,0,5,8,5,2002,2002,13,4,3,2,6,578.0,1671.0,1,5,1,5,1687,563,2,1,3,1,4,7,1,3.0,756.0,3,238,0
319900,5,7658,4,4,2,9,5,2005,2005,8,5,3,2,6,456.0,1752.0,1,5,1,5,1752,0,2,0,2,1,5,6,1,2.0,576.0,3,196,0
205000,5,7132,4,4,2,8,5,2006,2006,13,4,3,2,6,24.0,1370.0,1,5,1,5,1370,0,2,0,2,1,4,6,1,2.0,484.0,3,120,0
175500,5,2628,4,3,5,7,5,2003,2003,13,4,3,2,1,0.0,764.0,1,5,1,5,764,862,2,1,2,1,4,6,3,2.0,474.0,3,0,0
199500,5,18494,4,0,2,6,5,2005,2005,13,4,3,2,1,0.0,1324.0,1,5,1,5,1324,0,2,0,3,1,4,6,1,2.0,430.0,3,36,0
160000,5,3203,4,4,2,7,5,2006,2006,13,4,3,2,6,16.0,1145.0,1,5,1,5,1145,0,2,0,2,1,4,6,1,2.0,437.0,3,100,0
192000,5,3182,4,4,2,8,5,2004,2005,13,4,3,2,6,24.0,1256.0,1,5,1,5,1269,0,2,0,2,1,4,6,1,2.0,430.0,3,146,0
184500,5,13300,4,0,7,7,5,2004,2004,13,4,3,2,6,326.0,384.0,1,5,1,5,744,630,2,1,3,1,4,7,3,2.0,400.0,3,100,0
216500,5,7851,4,0,5,6,5,2002,2002,13,4,3,2,6,625.0,860.0,1,5,1,5,860,1100,2,1,4,1,4,8,3,2.0,440.0,3,288,0
185088,5,8577,4,0,5,7,5,2004,2004,13,4,3,2,1,0.0,847.0,1,5,1,5,847,886,2,1,3,1,4,7,3,2.0,433.0,3,144,0
180000,5,7750,4,0,7,7,5,2000,2000,13,3,3,2,6,250.0,384.0,1,5,1,5,774,656,2,1,3,1,3,7,3,2.0,400.0,3,180,0
222500,5,9505,4,0,5,7,5,2001,2001,13,4,3,2,1,0.0,884.0,1,5,1,5,884,1151,2,1,3,1,4,8,3,2.0,434.0,3,144,0
333168,5,14774,4,0,5,9,5,1999,1999,13,4,3,2,1,0.0,1393.0,1,5,1,5,1422,1177,2,1,4,1,4,10,3,3.0,779.0,3,668,0
355000,5,17433,4,0,5,8,5,1998,1998,13,4,3,2,1,0.0,1629.0,1,5,1,5,1645,830,2,1,4,1,4,7,1,3.0,962.0,3,23,0
260400,5,10593,4,0,2,7,5,1996,1996,13,4,3,2,6,919.0,1720.0,1,5,1,5,1720,0,2,0,3,1,4,7,1,2.0,527.0,3,240,0
325000,5,12256,4,0,5,8,5,1994,1995,6,4,3,2,6,1032.0,1463.0,1,5,1,5,1500,1122,2,1,3,1,4,9,1,2.0,712.0,3,186,0
290000,5,11764,4,0,5,8,7,1999,2007,13,4,3,2,6,524.0,1152.0,1,5,1,5,1164,1106,2,1,4,1,4,9,1,3.0,671.0,3,132,0
221000,5,16770,4,0,5,7,5,1998,1998,13,4,3,2,1,0.0,1195.0,1,4,1,5,1195,644,2,1,4,1,3,7,1,2.0,486.0,3,0,0
410000,5,14720,4,0,0,8,5,1995,1996,13,4,3,2,6,816.0,2033.0,1,5,1,5,2053,1185,2,1,4,1,4,9,1,3.0,666.0,3,283,0
221500,5,8987,4,0,2,8,5,2005,2006,13,4,3,2,1,0.0,1595.0,1,5,1,5,1595,0,2,0,2,1,4,6,1,3.0,880.0,3,144,0
204500,2,9215,4,0,2,7,5,2009,2010,13,4,3,2,1,0.0,1218.0,1,5,1,5,1218,0,2,0,2,1,4,4,1,2.0,676.0,3,0,0
215200,2,8640,4,0,5,7,5,2009,2009,13,3,3,2,6,24.0,756.0,1,5,1,5,764,783,2,1,3,1,4,7,1,2.0,614.0,3,169,0
262500,2,9000,4,0,2,8,5,2008,2008,13,4,3,2,6,1078.0,1566.0,1,5,1,5,1566,0,2,0,3,1,4,7,1,2.0,750.0,3,144,0
254900,2,12552,4,0,5,7,5,2004,2005,13,4,3,2,6,222.0,991.0,1,5,1,5,991,956,2,1,3,1,4,8,1,2.0,678.0,3,0,2
271500,2,10440,4,0,2,6,5,2005,2005,13,4,3,2,6,1414.0,1468.0,1,5,1,5,1468,0,2,0,2,1,4,6,1,2.0,528.0,3,0,0
233000,5,10142,4,0,5,7,5,2004,2004,13,4,3,2,6,656.0,956.0,1,5,1,5,956,1128,2,1,4,1,4,8,3,2.0,618.0,3,0,0
181000,5,11920,4,0,5,7,5,2004,2004,13,4,3,2,1,0.0,831.0,1,5,1,5,831,828,2,1,3,1,4,8,1,2.0,484.0,3,144,0
205000,5,8880,4,0,5,7,5,1994,2002,13,4,3,2,6,695.0,948.0,1,5,1,5,1222,888,2,1,3,1,4,8,1,2.0,463.0,3,0,0
143000,5,8012,4,4,2,6,5,1980,1980,9,3,3,1,4,543.0,923.0,1,3,1,5,923,0,2,0,2,1,3,5,1,1.0,264.0,3,80,0
189000,5,11218,4,0,5,6,5,1992,1992,14,4,3,2,1,0.0,1055.0,1,5,1,5,1055,790,2,1,3,1,4,8,1,2.0,462.0,3,635,4
99500,5,7892,4,4,2,6,5,1979,1979,9,3,3,1,1,0.0,918.0,1,3,1,5,918,0,2,0,2,1,3,5,1,1.0,264.0,3,28,0
125000,5,7175,4,4,2,6,5,1984,1984,9,3,3,1,5,623.0,744.0,1,3,1,5,752,0,1,0,2,1,3,4,1,1.0,264.0,3,353,3
194500,5,9453,4,0,5,7,7,1993,2003,6,4,3,2,4,402.0,996.0,1,5,1,5,1014,730,2,1,3,1,4,7,1,2.0,457.0,3,370,0
152000,5,9672,4,0,2,6,5,1984,1985,6,3,3,2,6,338.0,1040.0,1,3,1,5,1097,0,2,0,3,1,3,6,1,2.0,480.0,3,0,4
171000,5,8400,4,0,5,6,6,1980,1981,6,3,3,1,1,0.0,650.0,1,3,1,5,888,676,2,1,3,1,3,7,1,2.0,476.0,3,0,3
67500,4,9800,4,0,2,5,5,1920,1950,14,3,2,0,1,0.0,816.0,1,3,0,4,1012,0,1,0,2,1,3,5,5,1.0,429.0,3,121,0
112000,6,8930,4,2,0,6,5,1978,1978,13,3,3,3,0,0.0,0.0,1,3,1,5,1318,584,2,0,4,2,3,8,1,2.0,539.0,3,0,0
148000,5,11782,4,0,6,5,7,1961,1995,6,3,3,1,5,899.0,1109.0,1,3,1,5,1155,0,1,0,3,1,4,6,5,2.0,576.0,3,192,3
138500,5,8450,4,0,2,5,8,1965,2009,8,3,4,1,6,553.0,894.0,1,5,1,5,894,0,1,0,3,1,3,5,5,1.0,336.0,3,416,3
122000,5,9819,4,0,2,5,5,1967,1967,8,3,4,1,4,450.0,882.0,1,3,1,5,900,0,1,0,3,1,3,5,5,1.0,280.0,3,0,3
133000,5,7500,4,0,2,5,5,1963,1963,6,3,3,1,5,824.0,1040.0,1,2,1,5,1040,0,1,1,3,1,3,5,1,1.0,308.0,3,0,3
127000,5,6897,4,0,2,5,8,1962,2010,6,3,4,1,5,659.0,1040.0,1,5,1,5,1040,0,1,1,3,1,3,6,5,1.0,260.0,3,0,0
169000,5,15410,4,0,2,6,6,1974,2002,9,3,4,1,4,126.0,1208.0,1,5,1,5,1494,0,2,0,3,1,3,7,1,2.0,461.0,3,296,4
190000,5,10186,4,0,5,7,5,1992,1992,6,4,3,2,6,674.0,750.0,1,5,1,5,1061,862,2,1,3,1,4,8,1,2.0,564.0,3,240,0
362500,5,13143,4,0,5,8,5,1993,1993,6,4,3,2,2,250.0,1231.0,1,5,1,5,1251,1098,2,1,4,1,4,9,1,3.0,762.0,3,32,0
285000,5,11134,4,0,5,8,5,1992,1993,6,4,3,2,6,1129.0,1390.0,1,5,1,5,1402,823,2,1,4,1,4,7,1,3.0,713.0,3,198,0
260000,2,4835,4,4,2,7,5,2004,2005,8,4,3,2,6,1298.0,1488.0,1,5,1,5,1488,0,2,0,2,1,4,6,1,2.0,506.0,3,168,0
190000,2,3515,4,4,5,7,5,2004,2004,13,4,3,2,1,0.0,840.0,1,5,1,5,840,840,2,1,2,1,4,3,1,2.0,588.0,3,0,0
155000,2,3215,4,4,5,7,5,2004,2004,8,4,3,2,6,280.0,600.0,1,5,1,5,600,600,2,1,2,1,4,4,5,2.0,480.0,3,0,0
151000,2,3182,4,4,5,7,5,2004,2005,8,4,3,2,1,0.0,600.0,1,5,1,5,600,600,2,1,2,1,4,4,5,2.0,480.0,3,0,0
149500,2,2544,4,3,5,7,5,2004,2005,8,4,3,2,6,368.0,600.0,1,5,1,5,600,600,2,1,2,1,4,4,5,2.0,480.0,3,0,0
152000,2,2544,4,3,5,6,5,2005,2005,13,4,3,2,6,376.0,600.0,1,5,1,5,600,636,2,1,2,1,4,4,5,2.0,480.0,3,0,0
222000,2,4403,4,0,2,7,5,2009,2009,8,5,3,2,6,578.0,1470.0,1,5,1,5,1478,0,2,1,2,1,4,7,1,2.0,484.0,3,0,0
177500,2,2117,4,3,5,6,5,2000,2000,8,4,3,2,6,378.0,756.0,1,5,1,5,769,804,2,1,3,1,4,5,5,2.0,440.0,3,0,0
177000,2,2980,4,4,5,6,5,2000,2000,8,4,3,2,6,466.0,756.0,1,5,1,5,756,756,2,1,2,1,4,5,5,2.0,440.0,3,0,0
155000,2,2572,4,3,5,7,5,1999,1999,8,4,3,2,5,604.0,696.0,1,5,1,5,696,720,2,1,3,1,4,6,5,2.0,484.0,3,0,0
147110,2,2403,4,4,5,7,5,2003,2003,13,4,3,2,6,244.0,530.0,1,5,1,5,530,550,2,1,2,1,4,4,1,2.0,496.0,3,0,0
267916,2,12853,4,0,2,8,5,2010,2010,5,4,3,2,6,1032.0,1642.0,1,5,1,5,1418,0,1,1,1,1,4,6,1,3.0,852.0,3,160,0
254000,2,7379,4,0,5,8,5,2000,2000,13,4,3,2,6,484.0,975.0,1,5,1,5,975,873,2,1,3,1,4,7,1,2.0,592.0,3,280,0
155000,5,4420,4,4,2,8,5,1980,1980,14,4,3,1,6,728.0,728.0,1,3,1,5,788,0,1,0,1,1,4,3,5,2.0,484.0,3,133,0
206000,5,3880,4,3,2,8,6,1978,1978,14,4,3,1,6,1052.0,1226.0,1,3,1,5,1226,0,1,0,1,1,4,4,1,2.0,484.0,3,223,0
130500,5,13517,4,0,5,6,8,1976,2005,6,4,3,1,6,533.0,725.0,1,5,1,5,725,754,2,1,3,1,4,6,1,2.0,475.0,3,0,0
230000,2,8000,4,0,2,7,5,2002,2002,13,4,3,2,6,833.0,1492.0,1,5,1,5,1492,0,2,0,3,1,4,6,1,2.0,596.0,3,277,0
218500,5,10456,4,0,2,6,6,1967,1967,6,3,3,1,6,506.0,1829.0,1,4,1,5,1829,0,2,0,4,1,3,8,1,2.0,535.0,3,0,0
243500,5,10791,4,0,5,6,5,1993,1993,8,3,3,2,6,1137.0,1280.0,1,5,1,5,1280,1215,2,1,4,1,4,9,1,2.0,660.0,3,224,0
205000,5,10603,4,0,2,6,7,1977,2001,9,3,3,2,5,1200.0,1610.0,1,4,1,5,1610,0,2,0,3,1,4,6,1,2.0,480.0,3,168,0
212500,5,18837,4,0,0,6,5,1978,1978,8,3,3,2,5,687.0,1224.0,1,3,1,5,1287,604,3,0,3,1,3,7,1,2.0,678.0,3,0,0
196500,5,10421,4,0,5,7,5,1988,1988,6,3,3,1,6,394.0,980.0,1,3,1,5,980,734,2,1,3,1,3,7,1,2.0,496.0,3,228,3
197500,5,9360,4,0,2,6,7,1972,2006,9,3,3,1,5,982.0,1161.0,1,3,1,5,1381,0,1,1,3,1,4,5,1,2.0,676.0,3,0,0
171000,5,9600,4,0,5,6,6,1971,1971,8,3,3,1,5,329.0,715.0,1,3,1,5,930,715,1,2,4,1,3,7,1,2.0,441.0,3,0,2
142250,5,9600,4,0,2,5,5,1966,1966,13,3,3,1,3,698.0,1232.0,1,3,1,5,1232,0,1,1,3,1,3,6,1,2.0,490.0,3,0,0
143000,5,9790,4,0,2,6,5,1963,1963,6,3,3,1,5,569.0,1328.0,1,3,1,5,1328,0,1,1,3,1,3,6,1,2.0,528.0,3,0,0
128950,5,9320,4,0,2,4,5,1959,1959,9,3,3,1,5,569.0,950.0,1,2,1,5,1225,0,1,1,3,1,3,6,6,0.0,0.0,0,352,0
159000,5,9900,4,0,2,5,5,1966,1966,6,3,3,2,4,1059.0,1209.0,1,4,1,5,1209,0,1,0,3,1,3,6,1,2.0,504.0,3,0,0
178900,5,9680,4,0,2,5,6,1967,1967,14,3,3,1,4,1010.0,1510.0,1,5,1,5,1510,0,2,0,3,1,4,6,1,2.0,517.0,3,0,4
136300,5,10600,4,0,7,6,5,1964,1964,6,3,3,1,1,0.0,533.0,1,3,1,5,1131,644,2,0,3,1,3,8,1,2.0,480.0,3,0,0
180500,5,14112,4,0,7,5,7,1964,1964,14,3,3,2,6,1014.0,1152.0,1,3,1,5,1152,0,1,0,3,1,3,6,1,2.0,484.0,3,227,0
137500,5,8800,4,0,6,6,7,1963,1963,8,3,4,2,6,763.0,936.0,1,5,1,5,1054,0,1,0,3,1,4,6,1,2.0,480.0,3,120,3
84900,5,13260,4,2,2,5,6,1962,2001,6,3,3,1,4,1500.0,1728.0,1,3,1,5,1728,0,2,0,6,2,3,10,6,0.0,0.0,0,0,0
142125,5,9717,4,0,2,5,6,1950,1996,8,3,3,1,6,49.0,1078.0,1,4,1,4,1078,0,1,0,2,1,4,5,1,1.0,240.0,3,366,0
197600,5,9724,4,0,0,5,7,1952,2002,8,4,3,1,2,670.0,1140.0,1,4,1,5,1929,532,2,0,3,1,3,7,5,2.0,400.0,3,0,2
172500,5,17360,4,0,0,6,6,1949,1950,8,3,4,1,3,300.0,782.0,1,3,1,5,1019,537,2,0,3,1,3,6,1,2.0,470.0,3,0,0
116500,5,7207,4,0,2,5,7,1958,2008,14,3,4,1,4,696.0,858.0,1,4,1,5,858,0,1,0,2,1,3,4,6,0.0,0.0,0,117,0
76500,5,5350,4,0,2,3,2,1940,1966,14,3,1,1,1,0.0,728.0,1,5,1,5,1306,0,1,0,3,1,2,6,6,0.0,0.0,0,263,2
128000,5,9920,4,0,2,5,5,1954,1954,6,3,3,1,3,354.0,1056.0,1,3,1,5,1063,0,1,0,3,1,3,6,1,1.0,280.0,3,0,3
153000,5,9600,4,0,7,6,6,1955,1972,0,3,3,1,4,674.0,1156.0,1,5,1,5,1520,0,1,0,3,1,3,7,2,1.0,364.0,3,0,0
132000,5,7800,4,0,2,5,6,1954,1954,6,3,3,2,2,540.0,1268.0,1,4,1,5,1268,0,1,0,2,1,3,7,1,1.0,244.0,3,0,0
178000,5,11380,4,0,6,6,8,1966,2008,6,3,3,1,6,944.0,1080.0,1,4,1,5,1128,0,1,0,2,1,4,5,1,1.0,315.0,3,238,0
154300,5,11600,4,2,5,5,5,1960,1960,8,3,3,1,3,443.0,1105.0,1,3,1,4,1105,1169,2,0,5,2,3,12,5,2.0,480.0,3,0,0
180000,5,19900,4,0,2,7,5,1970,1989,9,3,3,1,6,912.0,1947.0,1,3,1,5,2207,0,2,0,3,1,3,7,1,2.0,576.0,3,301,0
190000,5,16492,4,0,2,6,6,1966,2002,3,4,3,1,5,247.0,1517.0,1,5,1,5,1888,0,2,1,2,1,4,6,1,2.0,578.0,3,0,0
135000,5,8267,4,2,2,5,5,1958,1958,6,3,3,1,1,0.0,1604.0,1,3,1,5,1604,0,2,0,4,2,3,8,1,2.0,576.0,3,42,0
214000,5,8197,4,0,2,7,5,2003,2009,13,4,3,2,6,1188.0,1480.0,1,5,1,5,1480,0,2,0,3,1,4,7,1,2.0,620.0,3,252,3
136000,5,8050,4,0,2,5,5,1959,1959,8,3,3,1,4,856.0,1143.0,1,3,1,5,1143,0,1,0,3,1,3,6,1,1.0,308.0,3,0,4
165500,5,10552,4,0,2,5,5,1959,1959,3,3,3,1,3,1018.0,1398.0,1,4,1,5,1700,0,1,1,4,1,4,6,1,2.0,447.0,3,0,0
145000,5,8400,4,0,2,5,6,1957,1957,8,3,4,1,3,922.0,1314.0,1,3,1,5,1314,0,1,0,3,1,3,5,1,1.0,294.0,3,250,0
148000,5,8760,4,0,2,6,6,1959,1959,8,3,3,1,1,0.0,1194.0,1,3,1,5,1194,0,1,0,3,1,3,6,1,1.0,312.0,3,0,0
142000,5,12160,4,0,2,5,5,1959,1959,9,3,3,1,3,1000.0,1188.0,1,2,1,5,1188,0,1,0,3,1,3,6,1,2.0,531.0,3,0,3
167500,5,9300,4,0,2,5,5,1960,1960,8,3,3,1,3,697.0,1268.0,1,3,1,5,1264,0,1,0,3,1,3,6,1,2.0,461.0,3,0,0
108538,5,10725,4,0,2,5,5,1959,1959,8,3,3,1,3,936.0,1206.0,1,2,1,5,1206,0,1,0,3,1,3,6,1,1.0,312.0,3,0,0
159500,5,10032,4,0,2,6,5,1959,1959,14,3,3,1,3,734.0,1244.0,1,5,1,5,1580,0,1,1,3,1,3,6,1,2.0,440.0,3,0,2
108000,5,8382,4,0,0,4,5,1956,1956,8,3,3,1,1,0.0,832.0,1,3,1,4,832,505,1,0,3,1,3,5,1,1.0,263.0,3,0,0
135000,5,10950,4,0,2,5,7,1952,1952,15,3,3,1,4,339.0,864.0,1,3,1,5,1064,0,1,0,2,1,2,4,5,1.0,318.0,3,0,0
122500,5,10895,4,0,2,5,6,1955,1955,8,3,4,1,3,648.0,972.0,1,3,1,5,972,0,1,0,3,1,3,5,1,1.0,305.0,3,0,2
119000,5,13587,4,1,2,5,5,1958,1958,8,3,3,1,3,532.0,988.0,1,3,1,5,988,0,1,0,2,1,3,5,1,1.0,264.0,3,0,0
109000,5,7922,4,0,2,5,7,1953,2007,13,3,4,1,6,731.0,1057.0,1,3,1,5,1057,0,1,0,3,1,4,5,5,1.0,246.0,3,0,0
105000,5,7898,4,0,2,4,7,1920,1994,8,3,3,0,1,0.0,576.0,1,4,1,5,985,0,1,0,2,1,3,4,5,2.0,676.0,3,0,0
107500,5,7200,4,0,2,5,7,1955,2007,13,3,3,3,0,0.0,0.0,1,5,1,5,827,0,1,0,2,1,3,5,5,1.0,392.0,3,0,0
144900,5,10200,4,0,2,5,7,1954,2003,14,3,3,1,5,320.0,1086.0,1,4,1,5,1086,0,1,0,3,1,3,6,1,2.0,490.0,3,0,2
129000,5,5868,4,0,2,5,7,1956,2000,8,3,3,1,4,248.0,936.0,1,5,1,5,936,0,1,0,2,1,3,4,1,1.0,308.0,3,0,0
97500,5,17503,4,0,0,6,5,1948,1950,13,3,3,1,1,0.0,912.0,1,3,1,5,912,546,1,0,3,1,3,6,1,1.0,330.0,3,192,0
144000,5,6979,4,2,6,6,5,1980,1980,9,3,3,1,6,1056.0,1056.0,1,4,1,5,1056,0,0,0,0,2,3,4,5,2.0,576.0,3,264,4
162000,5,9830,4,0,2,5,7,1959,2006,14,3,4,1,5,72.0,1063.0,1,5,1,5,1287,0,1,0,3,1,4,7,5,2.0,576.0,3,364,0
